ID,HSuit_1km,Suit_1km,Marg_1km,NotSuit_1km,Cleared_1km,HSuit_2_5km,Suit_2_5km,Marg_2_5km,NotSuit_2_5km,Cleared_2_5km,HSuit_5km,Suit_5km,Marg_5km,NotSuit_5km,Cleared_5km
202,1.92,0,33.14,19.85,45.1,7.63,2.28,17.5,27.03,45.56,1.45,0.43,16.95,26.91,54.27
203,0.49,0.38,9.05,39.7,50.38,1.09,0.96,17.41,45.09,35.45,1.83,0.97,22.67,32.83,41.7
204,19.92,8.42,19.48,25.15,27.03,10.82,3.23,10.12,31.52,44.3,3.5,1.92,8.17,31.17,55.23
207,13.36,8.2,8.46,69.98,0,26.77,5.03,18.09,49.73,0.38,22.43,11.02,19.25,42.1,5.2
208,6.29,0.41,1.23,11.77,80.3,8.39,0.37,2.9,26.08,62.26,8.17,0.66,4.75,23.04,63.38
209,1.79,0.38,48.55,29.27,20.02,3.12,1.47,35.34,29.94,30.13,8.75,2.57,23.24,36.31,29.13
210,2.33,0.26,38.88,34.74,23.8,0.7,0.65,33.68,32.99,31.97,4.81,2.16,23.89,31.38,37.76
211,1.41,0.08,51.09,22.61,24.81,0.79,0.65,32.07,34.5,31.99,5.84,2.25,24.01,33.84,34.07
212,3.02,0,24.94,35.6,36.45,1.22,0.49,21.78,29.99,46.52,0.8,0.3,20.31,25.41,53.17
213,9.66,0.34,3.2,22.15,64.65,8.1,0.71,3.59,23.91,63.69,3.92,1.15,3.72,19.28,71.92
214,9.26,1.48,9.29,32.26,47.7,9.89,1.68,5.41,22.7,60.33,5.24,0.86,8.83,21.04,64.03
216,29.59,2.56,4.14,23.4,40.32,15.12,2.62,3.68,26.39,52.18,6,1.54,3.6,20.18,68.68
217,18.21,5.29,6.7,35.08,34.71,14.66,3.05,4,27.45,50.84,5.85,1.62,3.54,19.55,69.45
218,7.88,0.73,11.27,21.13,58.99,11.5,1.91,4.38,18.75,63.46,4.17,0.86,7.56,22.39,65.02
219,9.3,0.53,8.52,11.17,70.47,8.94,1.72,9.95,21.39,57.99,3.78,0.56,9.9,22.8,62.96
220,1.62,0.97,41.06,13.23,43.12,2.76,2.02,24.63,32.14,38.45,1.1,0.38,19.75,26.85,51.92
221,0.87,1.34,31.96,48.05,17.79,1.61,0.72,28.32,30.22,39.13,0.91,0.3,19.37,26.88,52.55
222,32.81,5.19,1.45,10.58,49.97,13.95,2.34,3.4,21.99,58.32,7.12,1.82,3.26,20.72,67.07
224,26.04,4,2.19,18.63,49.15,14.45,2.08,4.19,22.86,56.42,6.7,1.71,4.3,22.16,65.13
225,25.63,1.69,2.56,21.38,48.74,14.76,3.14,2.8,16.62,62.69,7.15,1.69,3.37,18.73,69.07
233,21.27,9.15,3.29,9.97,56.32,11.53,3.25,3.55,15.92,65.76,8.96,1.61,4.04,16.85,68.54
234,5.39,0.2,0.91,10.29,83.21,10.34,2.04,2.58,14.42,70.62,11,1.95,2.96,17.49,66.61
235,5.87,1.15,1.29,23.95,67.74,10.24,1.52,1.99,19.83,66.42,10.24,1.31,2.29,17.99,68.16
236,3.04,1.49,3.95,9.35,82.16,6.65,0.94,1.67,9.86,80.88,12.93,2,2.79,13.05,69.23
238,1.71,3.4,1.98,15.91,77.01,5.03,4.7,8.44,39.54,42.3,7.36,11.19,9.68,38.97,32.8
241,22.67,38.71,11.23,23.68,3.71,12.37,20.99,10.59,40.18,15.86,10.96,15.77,12.63,33.97,26.67
242,14.3,24.15,10.46,40.9,10.2,9.27,14.62,8.71,38.9,28.5,10.75,14.3,11.86,34.57,28.52
249,0.11,0.83,4.49,72.25,22.32,5.25,2.32,9.81,50.87,31.75,11.05,7.96,17.05,43.13,20.81
250,1.37,4.1,7.12,22.98,64.44,4.38,2.59,7.69,43.58,41.77,8.14,10.05,11.67,39.71,30.43
252,9.88,7.95,5.8,58.18,18.2,9.97,7,13.2,52.13,17.7,13.54,13.56,14.87,41.92,16.12
257,0.01,0,5.15,29.08,65.76,0.13,0,6.62,38.47,54.78,0.33,0.03,5.68,34.43,59.52
259,1.03,0.19,1.66,44.87,52.24,4.29,0.65,5.79,29.3,59.97,9.99,2.26,5.39,24.6,57.76
261,0,0,13.96,33.52,52.52,0.18,0.17,18.34,28.11,53.2,0.87,1.23,21.48,31.32,45.12
262,9.51,3.34,4.01,13.58,69.56,6.67,8.22,7.61,17.75,59.75,4.52,6.67,4.74,15.81,68.26
263,8.64,3.99,1.67,3.96,81.74,6.25,8.7,8.21,18.27,58.58,4.13,5.36,4.87,16.53,69.1
265,16.35,7.09,6.23,15.41,54.93,7.35,6.92,7.46,18.09,60.18,3.81,4.17,5.26,17.05,69.71
269,5.16,0.95,7.72,6.8,79.38,9.84,3.76,10.63,11.8,63.97,8.99,2.15,11.33,17.69,59.84
270,7.63,2.28,11.41,15.27,63.41,10.89,3.44,16.72,17.9,51.05,11.62,2.87,11.74,20.02,53.75
